country,quarter,gdp % ch,cpi,share prices,neer,ind_prod,int_rate,3-MONTH U.S. DEP. LIBOR,Brent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1980Q1,4.79,5.30393,9.74057,85.46,45.87,6.75,16.29,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;dsdsadas
Austria,1980Q2,2.35,6.46117,9.59272,85.31,45.57,6.75,12.96,38.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1980Q3,1.86,6.93997,9.47995,85.63,44.73,6.75,10.88,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1980Q4,0.65,6.5778,9.39224,84.17,45.67,6.75,16.63,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1981Q1,-1.16,6.96095,9.05895,83.19,44.84,6.75,16.81,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1981Q2,0.85,6.82071,8.68306,83.30,44.69,6.75,17.70,37.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1981Q3,0.22,6.59912,8.232,83.55,44.29,6.75,18.50,33.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;dasasdas
Austria,1981Q4,-0.36,6.85155,8.08415,85.59,44.93,6.75,14.46,36.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1982Q1,2.26,6.03175,7.95885,85.32,45.40,6.75,15.68,35.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1982Q2,1.65,5.91608,7.60802,86.34,44.77,6.75,15.18,33.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;; dsasad
Austria,1982Q3,1.58,5.16311,7.35993,86.81,43.96,6.25,12.71,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1982Q4,2.16,4.68193,7.42508,87.83,43.60,4.75,9.58,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1983Q1,1.12,3.89222,7.6857,88.60,43.43,3.75,9.40,31.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1983Q2,2.27,2.65748,8.52268,88.57,44.89,3.75,9.41,29.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1983Q3,3.14,3.1021,8.34727,87.81,45.41,3.75,10.16,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1983Q4,4.44,3.6947,8.33223,87.70,45.43,3.75,9.92,30.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1984Q1,1.79,5.71566,8.39989,87.84,46.10,4.25,10.30,28.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1984Q2,-0.06,6.04027,8.33975,88.35,46.48,4.5,11.49,30.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1984Q3,-0.13,5.70955,8.3197,87.82,47.63,4.5,11.95,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1984Q4,-0.10,5.20394,8.85096,87.45,48.30,4.5,10.01,28.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1985Q1,1.61,3.45298,10.7154,87.31,48.89,4.5,9.03,26.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1985Q2,2.65,3.61664,16.8173,87.52,48.99,4.5,8.26,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1985Q3,3.02,3.00314,17.6894,88.41,49.77,4.00,8.14,26.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1985Q4,1.67,2.69608,19.5037,89.30,49.76,4.00,8.15,27.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1986Q1,2.19,2.3935,20.2655,90.71,50.15,4.00,7.91,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1986Q2,3.40,1.46161,20.7491,90.96,50.03,4.00,7.11,12.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1986Q3,1.63,1.63185,20.1327,91.82,49.59,4.00,6.27,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1986Q4,2.19,1.3235,19.7894,93.09,49.70,4.00,6.14,14.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1987Q1,0.65,0.316132,17.9224,94.51,49.54,3.5,6.38,18.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1987Q2,1.21,1.37715,16.5204,94.12,50.37,3.5,7.15,18.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1987Q3,1.92,2.27434,17.9951,94.09,50.15,3.5,7.22,19.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1987Q4,2.76,1.69705,16.478,94.57,51.28,3.00,7.96,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1988Q1,3.80,2.12695,15.0306,94.70,51.20,3.00,6.98,16.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1988Q2,3.11,1.74744,15.4987,94.25,52.07,3.00,7.48,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1988Q3,2.84,1.91995,16.6574,93.61,53.38,4.00,8.42,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1988Q4,3.00,1.86579,18.2069,93.93,53.50,4.00,9.02,11.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1989Q1,6.61,2.2779,20.0259,93.44,54.02,4.5,9.81,16.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1989Q2,3.43,2.59235,25.8933,93.47,55.17,5.5,9.78,20.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1989Q3,2.86,2.58621,31.7489,93.52,55.97,5.5,8.93,18.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1989Q4,1.68,2.79563,35.5001,95.08,57.42,6.5,8.62,18.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1990Q1,4.93,3.05441,49.294,96.29,59.02,6.5,8.40,21.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1990Q2,4.65,3.03222,49.2767,96.19,59.25,6.5,8.46,17.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1990Q3,4.40,3.2991,46.9863,96.08,59.70,6.5,8.17,16.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
Austria,1990Q4,4.47,3.65739,38.1155,96.85,60.55,6.5,8.22,39.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;
